Genome Name,RR:HPKratio,HPK,RR,unit_norm_hkct,unit_norm_genect,Genome Size   * assembled,Gene Count   * assembled,hpkper100gene,HybridHPK,taxon_oid,Domain,Status,Study Name,Sequencing Center,IMG Genome ID ,Phylum,ForColors,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,Phylum2
Pelagibacter bacterium JGI 01_I11 (contamination screened),0,4,,0.001356855,0.246947552,648468,728,0.549450549,,2721755982,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755982,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_H21 (contamination screened),0,7,,0.002374496,0.422660233,1146258,1246,0.561797753,,2721755849,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755849,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_H19 (contamination screened),0,1,,0.000339214,0.15434222,418001,455,0.21978022,,2721755980,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755980,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_H17_750m (contamination screened),0,4,,0.001356855,0.116011075,313844,342,1.169590643,,2739367941,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367941,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,noy
Pelagibacter bacterium JGI 01_H17_1000m (contamination screened),0,5,,0.001696068,0.147218733,392781,434,1.152073733,,2739367989,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367989,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_H11_1000m (contamination screened),0,4,,0.001356855,0.078697572,209236,232,1.724137931,,2737471738,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471738,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_G17_4000m (contamination screened),0,4,,0.001356855,0.359566491,923555,1060,0.377358491,,2739367824,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367824,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_G16_750m (contamination screened),0,2,,0.000678427,0.182496955,479191,538,0.371747212,,2737471730,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471730,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_G11 (contamination screened),0,4,,0.001356855,0.157734357,400189,465,0.860215054,,2738541250,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2738541250,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_F7_4000m (contamination screened),0,3,,0.001017641,0.201153707,540698,593,0.505902192,,2739367712,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367712,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_F6_750m (contamination screened),0,2,,0.000678427,0.176730322,443730,521,0.383877159,,2737471736,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471736,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_F21 (contamination screened),0,6,,0.002035282,0.201832134,528982,595,1.008403361,19,2747842497,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2747842497,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_F20_4000m (contamination screened),0,5,,0.001696068,0.126526699,327470,373,1.340482574,,2737471741,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471741,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_F14 (contamination screened),0,2,,0.000678427,0.16451863,418907,485,0.412371134,,2721756041,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721756041,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_E6 (contamination screened),0,1,,0.000339214,0.080054426,205376,236,0.423728814,,2721755981,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755981,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_E22_750m (contamination screened),0,6,,0.002035282,0.279172851,741152,823,0.729040097,,2739367997,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367997,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_D16_4000m (contamination screened),0,1,,0.000339214,0.199796852,525994,589,0.169779287,,2739367917,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367917,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_C21_750m (contamination screened),0,1,,0.000339214,0.151289297,387233,446,0.224215247,,2739367678,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367678,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI _01_G17_750m (contamination screened),0,2,,0.000678427,0.154681434,398271,456,0.438596491,,2739367730,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367730,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pedobacter sp. BAL39,1.03960396,101,105,0.034260581,1.755769958,5788054,5176,1.951313756,,640963036,Bacteria,Permanent Draft,Pedobacter sp. BAL39,J. Craig Venter Institute (JCVI),640963036,Bacteroidetes,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp. BAL39,Environmental,Aquatic,Unclassified,Marine,,Marine,not
Parvularcula bermudensis HTCC2503,1.097560976,41,45,0.01390776,0.927070961,2902643,2733,1.500182949,,648028050,Bacteria,Finished,Parvularcula bermudensis HTCC2503,J. Craig Venter Institute (JCVI),648028050,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularcula bermudensis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Paraoerskovia marina DSM 21750,0.789473684,19,15,0.00644506,0.922661184,2948319,2720,0.698529412,28,2561511089,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2561511089,Actinobacteria,Other,Actinobacteria,Micrococcales,Cellulomonadaceae,Paraoerskovia,Paraoerskovia marina,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment",not
Paracoccus zeaxanthinifaciens ATCC 21588,1.115384615,26,29,0.008819555,1.018997866,3055520,3004,0.86551265,,2524614865,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524614865,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus zeaxanthinifaciens,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Owenweeksia hongkongensis DSM 17368,1.057692308,52,55,0.017639111,1.208618308,4000057,3563,1.459444289,,2508501098,Bacteria,Finished,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),DOE Joint Genome Institute (JGI),2508501098,Bacteroidetes,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,Owenweeksia hongkongensis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Oceanospirillum maris DSM 6286,1.279069767,43,55,0.014586188,1.152308838,3712005,3397,1.265822785,25,2523231066,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523231066,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanospirillum,Oceanospirillum maris,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Oceanospirillum beijerinckii DSM 7166,1.210526316,95,115,0.032225299,1.572255362,5327358,4635,2.049622438,23,2524023058,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524023058,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanospirillum,Oceanospirillum beijerinckii,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Oceanobacter kriegii DSM 6294,1.403508772,57,80,0.019335179,1.36872716,4507818,4035,1.412639405,26,2523231065,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523231065,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,Oceanobacter kriegii,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
"Oceanithermus profundus 506, DSM 14977",1,16,16,0.005427419,0.829377424,2439291,2445,0.654396728,2,649633077,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),649633077,Deinococcus-Thermus,Other,Deinococci,Thermales,Thermaceae,Oceanithermus,Oceanithermus profundus,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Deep sea, Marine",not
Oceanicola granulosus HTCC2516,0.861111111,36,31,0.012211692,1.307668699,4039111,3855,0.93385214,,638341140,Bacteria,Permanent Draft,Oceanicola granulosus HTCC2516,J. Craig Venter Institute (JCVI),638341140,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola,Oceanicola granulosus,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Oceanicaulis alexandrii HTCC2633,1.243243243,37,46,0.012550906,1.045117319,3168201,3081,1.200908796,,638341138,Bacteria,Permanent Draft,Oceanicaulis alexandrii HTCC2633,J. Craig Venter Institute (JCVI),638341138,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis sp. HTCC2633,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Oceanibulbus indolifex HEL-45,0.839285714,56,47,0.018995966,1.427411125,4105524,4208,1.330798479,9,641380424,Bacteria,Permanent Draft,Oceanibulbus indolifex HEL-45,J. Craig Venter Institute (JCVI),641380424,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanibulbus,Oceanibulbus indolifex,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Nodularia spumigena CCY9414,1.22,50,61,0.016960684,1.665199908,5316258,4909,1.01853738,11,639857037,Bacteria,Permanent Draft,Nodularia spumigena CCY9414,J. Craig Venter Institute (JCVI),639857037,Cyanobacteria,Cyanobacteria,unclassified,Nostocales,Aphanizomenonaceae,Nodularia,Nodularia spumigena,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Surface water",not
Nitrosomonas cryotolerans ATCC 49181,1.238095238,21,26,0.007123487,0.919269047,2928185,2710,0.774907749,5,2588253501,Bacteria,Permanent Draft,"Genome Sequencing of Nitrosomonas cryotolerans and Nitrosospira briensis, missing pieces for comparative phylogenomics of ammonia-oxidizing bacteria",DOE Joint Genome Institute (JGI),2588253501,Proteobacteria,Betaproteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas cryotolerans,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Nitrosococcus oceani C-107,1.185185185,27,32,0.009158769,1.082091609,3522111,3190,0.846394984,22,637000194,Bacteria,Finished,Five Bacteria involved in Nitrification,DOE Joint Genome Institute (JGI),637000194,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus oceani,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine",not
Nitrococcus mobilis Nb-231,1.285714286,28,36,0.009497983,1.204886957,3617638,3552,0.788288288,23,638341135,Bacteria,Permanent Draft,Nitrococcus mobilis Nb-231,J. Craig Venter Institute (JCVI),638341135,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Nitrococcus,Nitrococcus mobilis,Environmental,Aquatic,Unclassified,Marine,,"Marine, Surface water",not
Nitrobacter sp. Nb-311A,1.052631579,38,40,0.012890119,1.462689347,4104352,4312,0.881261596,9,638341134,Bacteria,Permanent Draft,Nitrobacter sp. Nb-311A,J. Craig Venter Institute (JCVI),638341134,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter sp. Nb-311A,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Fresh water, Marine, Soil, Surface water",not
Nitratiruptor tergarcus DSM 16512,1.117647059,17,19,0.005766632,0.691656674,1929433,2039,0.83374203,18,2516493030,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),DOE Joint Genome Institute (JGI),2516493030,Proteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,unclassified,unclassified,Nitratiruptor,Nitratiruptor tergarcus,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Deep sea, Marine",not
"Nitratifractor salsuginis E9I37-1, DSM 16511",1.095238095,21,23,0.007123487,0.737111306,2101285,2173,0.96640589,18,649633076,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),649633076,Proteobacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,unclassified,Nitratifractor,Nitratifractor salsuginis,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Deep sea, Marine",not
Neptunomonas japonica DSM 18939,1.32,50,66,0.016960684,1.448781586,4393591,4271,1.170686022,24,2523533624,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523533624,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptunomonas,Neptunomonas japonica,Environmental,Aquatic,Intertidal zone,Marine,,"Aquatic, Marine, Sediment",not
"Muricauda ruestringensis B1, DSM 13258",1.025641026,39,40,0.013229333,1.195728188,3842422,3525,1.106382979,,2505679007,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),2505679007,Bacteroidetes,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda ruestringensis,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment",not
Moritella sp. PE36,1.212765957,47,57,0.015943043,1.646543156,5286066,4854,0.968273589,11,2501651208,Bacteria,Permanent Draft,Moritella sp. PE36,J. Craig Venter Institute (JCVI),2501651208,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella sp. PE36,Environmental,Aquatic,Coastal,Marine,,"Deep sea, Marine",not
Moritella marina ATCC 15381,1.183673469,49,58,0.01662147,1.440301245,4648950,4246,1.15402732,50,2519899695,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2519899695,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella marina,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Microbacterium indicum DSM 19969,1.153846154,13,15,0.004409778,0.916894551,2813713,2703,0.480947096,23,2523533558,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523533558,Actinobacteria,Other,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium indicum,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Deep sea, Marine, Sediment",not
Mesonia mobilis DSM 19841,0.92,25,23,0.008480342,1.032227199,3210966,3043,0.821557673,,2523231063,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2523231063,Bacteroidetes,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesonia,Mesonia mobilis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Mesoflavibacter zeaxanthinifaciens DSM 18436,0.833333333,30,25,0.01017641,0.938604226,2966206,2767,1.084206722,,2524023204,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524023204,Bacteroidetes,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
"Marivirga tractuosa H-43, DSM 4126",0.606060606,66,40,0.022388102,1.308347127,4516490,3857,1.711174488,,649633065,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),649633065,Bacteroidetes,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marivirga,Marivirga tractuosa,Environmental,Aquatic,Intertidal zone,Marine,,Sea sand,not
Marinomonas sp. MED121,1.384615385,52,72,0.017639111,1.668252831,5121076,4918,1.057340382,4,638341124,Bacteria,Permanent Draft,Marinomonas sp. MED121,J. Craig Venter Institute (JCVI),638341124,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas sp. MED121,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Marinobacterium litorale DSM 23545,1.392156863,51,71,0.017299897,1.464046201,4382432,4316,1.181649676,21,2522572179,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2522572179,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium litorale,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Marinobacterium jannaschii DSM 6295,1.369863014,73,100,0.024762598,1.621780558,5179830,4781,1.526877222,20,2556921010,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2556921010,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium jannaschii,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",Cyanobacteria
Marinobacter daepoensis DSM 16072,1.236363636,55,68,0.018656752,1.219812359,3835704,3596,1.529477197,2,2526164527,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2526164527,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter daepoensis,Environmental,Aquatic,Intertidal zone,Marine,,"Aquatic, Marine, Sea water",Cyanobacteria
Marinitoga piezophila KA3,1.095238095,21,23,0.007123487,0.722864332,2244793,2131,0.985452839,11,2508501120,Bacteria,Finished,Protein structure adaptations and genome stability as reflected by species of the Thermotogales,DOE Joint Genome Institute (JGI),2508501120,Thermotogae,Other,Thermotogae,Petrotogales,unclassified,Marinitoga,Marinitoga piezophila,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Deep sea, Hot spring, Hydrothermal vent, Marine",Cyanobacteria
"Marinithermus hydrothermalis T1, DSM 14884",1.142857143,14,16,0.004748991,0.783583579,2269167,2310,0.606060606,6,2504643006,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),2504643006,Deinococcus-Thermus,Other,Deinococci,Thermales,Thermaceae,Marinithermus,Marinithermus hydrothermalis,Environmental,Aquatic,Hydrothermal vents,Marine,,"Aquatic, Deep sea, Marine",Cyanobacteria
marine actinobacterium PHSC20C1,1,19,19,0.00644506,0.921982756,2769012,2718,0.699043414,23,638341246,Bacteria,Permanent Draft,Agreia sp. PHSC20C1,J. Craig Venter Institute (JCVI),638341246,Actinobacteria,Other,Actinobacteria,unclassified,unclassified,unclassified,marine actinobacterium PHSC20C1,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",Cyanobacteria
Marinactinospora thermotolerans DSM 45154,0.903846154,52,47,0.017639111,1.709297685,5663707,5039,1.031950784,21,2524614583,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524614583,Actinobacteria,Other,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Marinactinospora,Marinactinospora thermotolerans,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Deep sea, Marine, Sediment",Cyanobacteria
Loktanella vestfoldensis SKA53,1.095238095,21,23,0.007123487,1.057329011,3063691,3117,0.673724735,9,638341119,Bacteria,Permanent Draft,Loktanella vestfoldensis SKA53,J. Craig Venter Institute (JCVI),638341119,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella,Loktanella vestfoldensis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",Cyanobacteria
Loktanella sp. SE62,0.909090909,33,30,0.011194051,1.574290644,4581948,4641,0.711053652,8,2517487002,Bacteria,Permanent Draft,Loktanella sp. SE62,J. Craig Venter Institute (JCVI),2517487002,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella,Loktanella sp. SE62,Environmental,Aquatic,Intertidal zone,Marine,,Marine,Cyanobacteria
Loktanella hongkongensis DSM 17492,0.928571429,28,26,0.009497983,1.069201489,3187878,3152,0.888324873,7,2517434011,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2517434011,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella,Loktanella hongkongensis,Environmental,Aquatic,Unclassified,Marine,,"Biofilm, Marine",not
Limnobacter sp. MED105,1.203703704,54,65,0.018317538,1.114316907,3390271,3285,1.643835616,11,640963026,Bacteria,Permanent Draft,Limnobacter sp. MED105,J. Craig Venter Institute (JCVI),640963026,Proteobacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter sp. MED105,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Surface water",not
